epoch,train_loss,val_loss,val_bleu,val_chrf
1,4.889051702660574,3.957739606499672,,
2,3.7633727906455454,3.528833255171776,11.940811325140281,41.591968231437974
3,3.3457024265343036,3.322266712784767,,
4,3.0829105142136695,3.2013558745384216,13.998182254509182,47.108839399399926
5,2.8842177323892084,3.1102526038885117,,
6,2.7412755086388385,3.0507685989141464,18.574138287728935,49.64485134212553
7,2.634389484432382,2.99735227227211,,
8,2.534271025321853,2.953478753566742,19.805360927155217,51.79825880426656
9,2.4577979537802683,2.9314034730196,,
10,2.3911072334773102,2.9193877428770065,21.082029076404304,53.217229932128596
11,2.346543940020279,2.890673041343689,,
12,2.282862020210481,2.8835268318653107,22.669268178135077,54.00349956834013
13,2.250420931359412,2.8800410628318787,,
14,2.226166374246839,2.87465700507164,22.065927944736146,53.8026760790226
15,2.2120336613184968,2.8694410920143127,,
16,2.186734998729867,2.868162587285042,22.528392740644424,54.21710414217157
17,2.181585232976457,2.861550524830818,,
18,2.1790735923068625,2.861106425523758,22.381462012690527,53.938832855600374
19,2.1719443126463553,2.859174519777298,,
20,2.1717630104279855,2.858463943004608,22.83538714301465,54.18968043458502
