epoch,train_loss,val_loss,val_bleu,val_chrf
1,4.493967459235392,3.6325589567422867,,
2,3.5464716427762744,3.258467599749565,17.44500282656975,41.181628141452705
3,3.1549717708372733,3.0681303590536118,,
4,2.895776026685473,2.949021205306053,26.564848156310717,48.0982222456475
5,2.6903121807205843,2.880845293402672,,
6,2.56290405904743,2.8176849633455276,27.98492187155533,50.73120256345233
7,2.4285434971392994,2.7782090455293655,,
8,2.341577133662264,2.7513579428195953,31.784230296062137,54.252821363438855
9,2.2569396730879663,2.726181209087372,,
10,2.1882381237728494,2.7182920575141907,34.059870159903284,55.44777210089907
11,2.129509443968115,2.693415492773056,,
12,2.0710591077804565,2.6875433027744293,34.50715350552832,56.190556471952846
13,2.029209895872734,2.6851202100515366,,
14,1.9969551529682859,2.6731904298067093,35.02522768237429,57.32912726071152
15,1.9639788395921949,2.6658911406993866,,
16,1.9290037054411122,2.653621479868889,35.8646008356467,57.96617210887971
17,1.888906609844154,2.658540040254593,,
18,1.8825082224859317,2.6536207050085068,35.324812162228646,57.74440563533243
19,1.8683633132719657,2.645812228322029,,
20,1.8439648806209294,2.645500600337982,37.19739784791555,58.971818708026824
21,1.829958029196296,2.6479052901268005,,
22,1.8309562307008556,2.6480468064546585,36.547335698025336,58.41797223930637
23,1.8186104952449529,2.6453591138124466,,
24,1.8072102942936856,2.644946113228798,36.80604519240678,58.673712902727196
25,1.8099883056022752,2.645866572856903,,
26,1.7990113664680802,2.6456695199012756,36.829136943742284,58.55402948403381
27,1.8041843310208387,2.644391730427742,,
28,1.7904430342392184,2.6449242681264877,36.77064446730867,58.6076867520375
29,1.7927015180319128,2.6445328295230865,,
30,1.7914307285362565,2.644211769104004,37.153784408609916,58.92535446093883
