epoch,train_loss,val_loss,val_bleu,val_chrf
1,4.738234046479346,3.781110033392906,,
2,3.6311263735865205,3.3394246250391006,13.068671846805245,42.32196208252787
3,3.2206387889217325,3.144028976559639,,
4,2.962732452741811,3.0351483076810837,17.464396282023785,47.668528563431785
5,2.77053817560975,2.955090209841728,,
6,2.613475621586115,2.8883135616779327,20.854102615097915,51.789051882172934
7,2.492670307696705,2.83711177110672,,
8,2.398777105438877,2.802678167819977,24.578251356699088,55.1573436684229
9,2.3052767750243066,2.7807202488183975,,
10,2.2425668608974405,2.7637393474578857,26.184522883020556,56.279753975504285
11,2.1616162229591693,2.7392458021640778,,
12,2.1133638200625566,2.7141402065753937,26.685863037595023,56.79936184419779
13,2.0677274549511115,2.712141528725624,,
14,2.02025826212386,2.705623969435692,26.616617998289108,57.12473890624478
15,2.003554020129459,2.6945367455482483,,
16,1.953596183951472,2.6927037090063095,28.113359860731574,58.0792410052539
17,1.9289647441514781,2.685365840792656,,
18,1.9104128756993253,2.687790125608444,28.067949888699886,58.63162950542122
19,1.8847393704132296,2.679979979991913,,
20,1.8714953207633864,2.6751564145088196,28.1685123375779,58.77376544231178
21,1.8582652152424128,2.662968620657921,,
22,1.833803850160518,2.668350487947464,29.039951552714246,58.719016889379695
23,1.8339158917816591,2.6640540659427643,,
24,1.822458161434657,2.6652564108371735,29.052645583450108,58.81313509736654
25,1.8237995765578578,2.667507126927376,,
26,1.8173071146011353,2.6644858717918396,28.53050190115446,58.730358236189915
27,1.8198917953061386,2.6647140830755234,,
28,1.8105265456186215,2.664299577474594,28.431615932101533,58.6733479274249
29,1.8097632653276685,2.664319932460785,,
30,1.8034995592815775,2.664305880665779,29.034047721762597,58.784773326588656
