epoch,train_loss,val_loss,val_bleu,val_chrf
1,4.824819286104659,3.9090755581855774,,
2,3.692248693654235,3.462691009044647,10.38107696260342,40.20552656355587
3,3.2842325056102912,3.245169848203659,,
4,3.0231103225493094,3.138856917619705,15.630822752917886,46.988400100175305
5,2.8392798631963596,3.060984745621681,,
6,2.698976090256597,3.0064966529607773,19.552280016834246,50.77271475281416
7,2.557426516438874,2.945929452776909,,
8,2.4659576214535135,2.9141367971897125,23.089566325967123,53.094486657816745
9,2.365201233138501,2.8830476701259613,,
10,2.3058872491541043,2.864476665854454,25.4702665518487,55.187231189974675
11,2.2291523369265276,2.850672125816345,,
12,2.182869639195187,2.838194727897644,26.4900279379498,56.10841756802911
13,2.1171184022661667,2.814607873558998,,
14,2.0861208119862518,2.8100598454475403,27.371206683718977,56.46557819109416
15,2.042416381164336,2.8075707852840424,,
16,2.0086311874255327,2.796417683362961,28.16608706073556,57.078439171826155
17,1.988756602918598,2.7960158735513687,,
18,1.9626748259638396,2.7950173914432526,28.08227544529414,57.43025089462137
19,1.9415489132975188,2.792763277888298,,
20,1.9270564082642676,2.7864726930856705,28.032926727063668,57.31663338984575
21,1.9155267963946705,2.7816611379384995,,
22,1.9054174406427733,2.782181069254875,28.860434497400107,57.54711899788738
23,1.8842048057368104,2.781734198331833,,
24,1.8731919527053833,2.781916454434395,28.632261754162638,57.92881747342173
25,1.8849151016960681,2.7759548872709274,,
26,1.8693850779197585,2.7761001139879227,28.296041366866593,57.94651961702989
27,1.8667162807894424,2.776200696825981,,
28,1.867483699825448,2.775884747505188,28.206322297738932,57.955952950725845
29,1.8508841202292643,2.7755617201328278,,
30,1.86119682016507,2.7753861993551254,28.220344307662813,57.9881906943332
