epoch,train_loss,val_loss,val_bleu,val_chrf
1,4.886943649238264,3.969465211033821,,
2,3.7560824575558516,3.521688461303711,11.138718542003398,39.70873128963562
3,3.3298746901498713,3.3178401440382004,,
4,3.0630575334522088,3.2004813849925995,16.36051719082071,45.649146543371764
5,2.8521248589099293,3.116530567407608,,
6,2.7061100677705148,3.0689335614442825,16.92679366469379,49.455921291346314
7,2.577630462780805,3.0125885903835297,,
8,2.4651243820996354,2.968686521053314,19.79754252292345,51.80199106813711
9,2.3913895210749665,2.947993442416191,,
10,2.3075426178918756,2.919804662466049,23.47228675447971,53.673488963175295
11,2.236899236558189,2.906728968024254,,
12,2.187603435046236,2.8816926330327988,25.16207471280079,55.10725879566858
13,2.1308860610908185,2.877893641591072,,
14,2.07931189805689,2.8604767322540283,24.9117026645529,54.51759523793031
15,2.0420378564109263,2.848546013236046,,
16,2.0212094045021165,2.8437721133232117,26.47250289538791,55.82397802462271
17,1.9848918276773373,2.8452819883823395,,
18,1.9653178705296046,2.845756083726883,26.90770098860586,55.86453848127035
19,1.9489638990079854,2.840692311525345,,
20,1.922077173918066,2.8327163606882095,26.412754002051503,56.01075669651912
21,1.9199362506329174,2.8375296890735626,,
22,1.906776809356582,2.829607293009758,26.63406843382001,55.96360539901798
23,1.8798330048440208,2.8312508314847946,,
24,1.8690111704275643,2.832624986767769,26.95481476852206,56.139070913394995
25,1.8702019050087728,2.829158589243889,,
26,1.8577929970244287,2.8293139785528183,26.644984391222106,56.301669345066884
27,1.8638212848717057,2.8278576731681824,,
28,1.870364911119703,2.8277558088302612,27.513257176334374,56.74391126289906
29,1.8656026527915202,2.82729110121727,,
30,1.8718807831616469,2.8272597938776016,27.527680885208802,56.753103915170215
