epoch,train_loss,val_loss,val_bleu,val_chrf
1,4.757739456606583,3.801701247692108,,
2,3.6589588816736787,3.3687886148691177,11.844611802408796,41.46750234673699
3,3.252120632520864,3.1492375284433365,,
4,2.9809120070766397,3.0298629999160767,16.682077510345675,46.96388459131976
5,2.804164188008913,2.951230436563492,,
6,2.632768137354246,2.8970196694135666,20.7001268441352,50.51427576341274
7,2.5412785268165696,2.853184923529625,,
8,2.4174831585145333,2.809149742126465,23.579871722257234,53.356145268207854
9,2.346988812298842,2.77997325360775,,
10,2.2889844229523564,2.7648870646953583,24.8720748629932,54.62124163477932
11,2.236196125057382,2.7455491572618484,,
12,2.197764171680934,2.7364579886198044,25.3371990847177,55.33457250301937
13,2.1732804556967507,2.727985605597496,,
14,2.1326725516520755,2.7211308628320694,24.924661329180775,55.6540218431654
15,2.123321576857231,2.7112074494361877,,
16,2.1002497824145037,2.7087042033672333,25.495594023233817,55.90649840318485
17,2.0942113198025125,2.706824630498886,,
18,2.087043305517922,2.705793261528015,26.087801370254386,56.445686398072446
19,2.0745638575352414,2.7056602239608765,,
20,2.0719655416381193,2.7056780755519867,26.013260720213093,56.50085242747206
