epoch,train_loss,val_loss,val_bleu,val_chrf
1,4.390897166561073,3.4813340306282043,,
2,3.4293090222587046,3.1081627905368805,19.235536650131337,41.849501009314494
3,3.0236858247031626,2.914448767900467,,
4,2.7469716407883333,2.8103102445602417,26.40678592806493,50.00270299126023
5,2.5685077452323806,2.7300280779600143,,
6,2.4080767900171414,2.678214207291603,31.602231837974674,54.50899627385102
7,2.31040225566273,2.6504576802253723,,
8,2.2046333668937144,2.610863044857979,32.67994052739354,56.10834017382842
9,2.1358928747580084,2.5891761481761932,,
10,2.073527623230303,2.5690766274929047,34.16432481789784,56.95690336695658
11,2.019388459098171,2.566356047987938,,
12,1.9734695226373806,2.5577350109815598,35.06011610876532,57.858581130051434
13,1.9271896506699038,2.5520208925008774,,
14,1.8908965973786904,2.553861364722252,33.96794075466662,57.827223298117524
15,1.8497129930576808,2.5439275801181793,,
16,1.8283512105404491,2.537542551755905,35.106472020928514,58.46749570869115
17,1.8035361347064165,2.537246361374855,,
18,1.7963883977540782,2.541041314601898,34.991510685621954,58.26943283223217
19,1.773986322779051,2.5365404039621353,,
20,1.7556016881700973,2.5312213599681854,35.637557481090155,58.63764795472449
21,1.7491162293393847,2.528885304927826,,
22,1.7399711978267616,2.52750962972641,34.965102004826115,58.573269725636656
23,1.7299729417747176,2.527304232120514,,
24,1.7216488005409778,2.527856469154358,35.23470129706837,58.50945466384214
25,1.7207272539676075,2.5286946445703506,,
26,1.721259681271835,2.5281132459640503,35.98136773622416,59.01786340033124
27,1.7154696038071537,2.527471512556076,,
28,1.7222060754265585,2.5267710834741592,36.19944226534535,58.90467051171342
29,1.7029661813252408,2.5263609439134598,,
30,1.7056978655533053,2.526136741042137,35.9422909781401,58.99097310006742
