epoch,train_loss,val_loss,val_bleu,val_chrf
1,4.415430398054526,3.503230780363083,,
2,3.448424446750695,3.1251577883958817,17.75443908270705,41.16520133976634
3,3.0514699170287227,2.9347646236419678,,
4,2.7816430649287263,2.8167663663625717,26.556602890230113,49.9431507139613
5,2.5891957853881404,2.7458012253046036,,
6,2.4380689406059157,2.6796934902668,29.84490868415214,53.45630906562523
7,2.3252335719659296,2.642726555466652,,
8,2.235553419086295,2.6217602491378784,32.03494896636593,55.07522511821702
9,2.1544964431037363,2.592318043112755,,
10,2.0832581285019995,2.5706322342157364,33.892400807866,56.84258182923766
11,2.031750610176946,2.5654199719429016,,
12,1.9788541777033202,2.555304601788521,33.988800818287324,57.232902292093314
13,1.9401555313190944,2.543639227747917,,
14,1.908992695136809,2.5331764966249466,34.4224111960315,57.73211600638904
15,1.8721527851803201,2.5293771624565125,,
16,1.8460948803055455,2.5276167392730713,34.49637432964104,58.05664671630797
17,1.8243519034184201,2.524607017636299,,
18,1.8001199507377517,2.5211770236492157,35.09337015610792,58.77208858988686
19,1.7919163603178212,2.520866721868515,,
20,1.7751089569548486,2.5177079141139984,35.16114479490918,58.58522401549293
21,1.7582622850444956,2.5176763236522675,,
22,1.7519549769414982,2.518326610326767,35.849815144040015,58.70618845795881
23,1.7386194887295576,2.516920030117035,,
24,1.7406830854818856,2.513499230146408,36.11230963559363,58.93422645096328
25,1.7339264725295591,2.512368306517601,,
26,1.727159298641581,2.5118955224752426,36.07834333478409,58.82614952407602
27,1.731512875624106,2.5126356184482574,,
28,1.7263766107424883,2.5126533657312393,36.17317611817727,59.04670201186112
29,1.7224416145136658,2.512238457798958,,
30,1.7159919251858349,2.512137308716774,36.0654701568305,59.00794207625364
