epoch,train_loss,val_loss,val_bleu,val_chrf
1,4.485598439901647,3.6674309968948364,,
2,3.581414817084729,3.2789138853549957,17.48016396674524,40.52628447674331
3,3.1618865342207356,3.0804689675569534,,
4,2.879207715182237,2.9589987695217133,27.27485347648541,49.03651165963521
5,2.700245699412386,2.8829906582832336,,
6,2.5664207364471867,2.8136530220508575,30.41431524791971,52.06992572002692
7,2.4633853368356196,2.782985895872116,,
8,2.368033352032514,2.7402261048555374,31.242221224725814,53.18100586270008
9,2.2887708368435713,2.7244937419891357,,
10,2.233250104205709,2.709650844335556,32.649198793926764,54.716373539158624
11,2.196040588365474,2.690916046500206,,
12,2.1560506921418954,2.681827589869499,33.133559057430375,55.77017436761258
13,2.1144407718953953,2.679242268204689,,
14,2.0844367826488654,2.6689971536397934,33.1213831205803,55.86066225498616
15,2.084237788764524,2.6660545021295547,,
16,2.055577692851214,2.6624767184257507,33.408957874577176,56.149363479974625
17,2.0592866783410733,2.6589511036872864,,
18,2.0408778895794506,2.658558741211891,32.800516122001284,55.55531936545341
19,2.0489096305739714,2.6585104018449783,,
20,2.042057579671833,2.6581335812807083,32.727756498555244,55.507573349793546
